,Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007,Total_transcripts_per_million_sequences,Reads_per_Kb_per_million_mapped_reads
212,Tara_Oceans,ERR598956,dddQ,30,-8.9109,-140.2845,150,MIX,0.22,3.0,SPO,SPSG,1.2057181424047172,2.0932606638970785
213,Tara_Oceans,ERR598976,dddQ,829,36.1715,-29.023000000000003,5,SRF,0.22,3.0,NAO,NAST-E,8.05683965284526,13.987568841745244
214,Tara_Oceans,ERR598977,dddQ,69,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS,2.7271027414615303,4.734553370592935
215,Tara_Oceans,ERR598988,dddQ,113,-9.0714,-140.5973,120,MIX,0.22,3.0,SPO,SPSG,4.668780398460162,8.105521525104447
216,Tara_Oceans,ERR598999,dddQ,77,-8.9729,-139.2393,600,MES,0.22,3.0,SPO,SPSG,2.7551038298447876,4.783166371258312
217,Tara_Oceans,ERR599004,dddQ,134,6.3559,-103.0598,450,MES,0.22,3.0,NPO,PNEC,5.822259959736031,10.108090207875055
218,Tara_Oceans,ERR599010,dddQ,56,-20.9354,-35.1803,5,SRF,0.22,3.0,SAO,SATL,2.8029336905472113,4.866204323866686
219,Tara_Oceans,ERR599011,dddQ,109,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS,5.458776621051326,9.477042744880775
220,Tara_Oceans,ERR599015,dddQ,151,14.2025,-116.6433,375,MES,0.22,3.0,NPO,PNEC,5.437996593077128,9.440966307425569
221,Tara_Oceans,ERR599016,dddQ,106,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG,4.972897940793334,8.633503369432871
222,Tara_Oceans,ERR599022,dddQ,102,-30.1367,-43.2899,5,SRF,0.22,3.0,SAO,SATL,4.772586934425638,8.285741205600067
223,Tara_Oceans,ERR599027,dddQ,89,-47.2007,-57.9446,40,DCM,0.22,3.0,SAO,FKLD,4.65739618062115,8.08575725802283
224,Tara_Oceans,ERR599031,dddQ,10,20.8457,63.5851,600,MES,0.22,1.6,IO,ARAB,0.614468886582992,1.0667862614288055
225,Tara_Oceans,ERR599035,dddQ,101,-47.1863,-58.2902,5,SRF,0.22,3.0,SAO,FKLD,2.7103815610756574,4.705523543534127
226,Tara_Oceans,ERR599067,dddQ,84,2.0649,-84.5546,380,MES,0.22,3.0,NPO,CHIL,4.351302173796603,7.554344051730215
227,Tara_Oceans,ERR599098,dddQ,105,-16.957,53.9801,5,SRF,0.22,1.6,IO,ISSG,6.394466216756084,11.101503848534868
228,Tara_Oceans,ERR599102,dddQ,277,19.0393,64.4913,5,SRF,0.22,1.6,IO,MONS,5.4730232215633325,9.501776426325229
229,Tara_Oceans,ERR599104,dddQ,9,-62.2231,-49.2139,90,DCM,0.22,3.0,SO,ANTA,0.4985456039882762,0.8655305624796461
230,Tara_Oceans,ERR599109,dddQ,19,19.0351,64.5638,340,MES,0.22,1.6,IO,MONS,0.732380411337218,1.27149376968267
231,Tara_Oceans,ERR599113,dddQ,86,-12.9723,-96.0122,50,DCM,0.22,3.0,SPO,SPSG,5.761222258040053,10.00212197576398
232,Tara_Oceans,ERR599169,dddQ,325,-13.0023,-95.9759,5,SRF,0.22,3.0,SPO,SPSG,14.675293993551179,25.477940961026352
233,Tara_Oceans,ERR599176,dddQ,13,-62.0385,-49.528999999999996,5,SRF,0.22,3.0,SO,ANTA,0.6573581050813225,1.1412467102106294
234,Tara_Oceans,ERR598943,dddY,0,-5.2529,-85.1545,5,SRF,0.22,3.0,SPO,PEOD,0.0,0.0
