,Experiment,Station,Depth_zone,Marine_pelagic_biomes _Longhurst_2007,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Gene,Percentage_of_genome_equivalents
1156,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddQ,0.0
931,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dddW,0.0
256,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,dmdA,12.88
31,ERX555938,TARA_125,SRF,SPSG,-8.9111,-142.5571,5,recA_hits,2575.0
1382,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dddD,0.0
482,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dddK,5.59
1607,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dddL,0.0
707,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dddP,0.0
1157,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dddQ,0.0
932,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dddW,0.0
257,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,dmdA,15.06
32,ERX555939,TARA_068,DCM,SATL,-31.026999999999997,4.6802,50,recA_hits,2995.0
1383,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddD,0.0
483,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddK,0.0
1608,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddL,0.0
708,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddP,0.0
1158,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddQ,0.0
933,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dddW,0.0
258,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,dmdA,3.46
33,ERX555940,TARA_076,DCM,SATL,-21.0292,-35.3498,150,recA_hits,757.0
1384,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dddD,1.05
484,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dddK,1.67
1609,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dddL,0.0
709,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dddP,1.82
1159,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dddQ,1.73
934,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dddW,0.0
259,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,dmdA,11.32
34,ERX555941,TARA_110,DCM,SPSG,-1.9002,-84.6265,50,recA_hits,17673.0
1385,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dddD,3.82
485,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dddK,0.0
1610,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dddL,0.0
710,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dddP,8.78
1160,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dddQ,0.0
935,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dddW,0.0
260,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,dmdA,18.54
35,ERX555942,TARA_085,MES,ANTA,-61.9689,-49.5017,790,recA_hits,1397.0
1386,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dddD,1.27
486,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dddK,1.93
1611,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dddL,0.19
711,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dddP,1.77
1161,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dddQ,0.0
936,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dddW,0.0
261,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,dmdA,13.84
36,ERX555943,TARA_036,SRF,ARAB,20.8183,63.5047,5,recA_hits,11601.0
1387,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dddD,0.29
487,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dddK,0.0
1612,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dddL,0.0
712,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dddP,3.93
1162,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dddQ,0.0
937,ERX555944,TARA_098,MES,SPSG,-25.8076,-111.6906,488,dddW,0.0
