Dataset,Sample_ID,Enzyme,Number_of_transcripts,Latitude_deg_N,Longitude_deg_E,Sampling_depth_m,Depth_zone,Size_fraction_lower_threshold_micrometre,Size_fraction_upper_threshold_micrometre,Ocean_and_sea_regions,Marine_pelagic_biomes _Longhurst_2007
Tara_Oceans,ERR598956,dddY,2,-8.9109,-140.2845,150,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598976,dddY,21,36.1715,-29.023,5,SRF,0.22,3,NAO,NAST-E
Tara_Oceans,ERR598977,dddY,0,14.5536,70.0128,60,DCM,0.22,1.6,IO,MONS
Tara_Oceans,ERR598988,dddY,0,-9.0714,-140.5973,120,MIX,0.22,3,SPO,SPSG
Tara_Oceans,ERR598999,dddY,1,-8.9729,-139.2393,600,MES,0.22,3,SPO,SPSG
Tara_Oceans,ERR599004,dddY,0,6.3559,-103.0598,450,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599010,dddY,4,-20.9354,-35.1803,5,SRF,0.22,3,SAO,SATL
Tara_Oceans,ERR599011,dddY,1,14.6059,69.9776,5,SRF,0.22,1.6,IO,MONS
Tara_Oceans,ERR599015,dddY,1,14.2025,-116.6433,375,MES,0.22,3,NPO,PNEC
Tara_Oceans,ERR599016,dddY,2,-16.9534,53.9601,75,DCM,0.22,1.6,IO,ISSG
